iter	Passed	Remaining
254	1041	3042
255	1046	3042
256	1051	3041
257	1055	3036
258	1059	3031
259	1064	3029
260	1068	3024
261	1071	3018
262	1075	3014
263	1080	3011
264	1084	3008
265	1088	3003
266	1092	2998
267	1097	2996
268	1101	2992
269	1104	2987
270	1111	2988
271	1115	2985
272	1120	2983
273	1125	2982
274	1130	2979
275	1135	2977
276	1139	2974
277	1159	3010
278	1169	3022
279	1178	3029
280	1184	3031
281	1189	3029
282	1194	3027
283	1199	3024
284	1202	3018
285	1208	3016
286	1211	3010
287	1215	3005
288	1220	3002
289	1225	3001
290	1230	2998
291	1234	2992
292	1238	2988
293	1242	2984
294	1246	2979
295	1250	2973
296	1254	2968
297	1258	2964
298	1262	2959
299	1265	2953
300	1269	2947
301	1274	2945
302	1278	2940
303	1282	2935
304	1285	2930
305	1290	2927
306	1295	2925
307	1299	2919
308	1304	2916
309	1308	2912
310	1312	2906
311	1315	2901
312	1321	2901
313	1325	2896
314	1329	2890
315	1333	2885
316	1339	2885
317	1344	2882
318	1347	2877
319	1353	2876
320	1357	2871
321	1360	2865
322	1364	2860
323	1370	2859
324	1374	2853
325	1377	2848
326	1382	2845
327	1387	2842
328	1392	2839
329	1395	2834
330	1400	2831
331	1404	2826
332	1408	2820
333	1412	2816
334	1417	2814
335	1422	2810
336	1425	2805
337	1429	2800
338	1435	2799
339	1440	2796
340	1445	2793
341	1450	2791
342	1455	2787
343	1460	2785
344	1465	2783
345	1470	2780
346	1475	2776
347	1479	2771
348	1485	2770
349	1491	2770
350	1496	2766
351	1501	2763
352	1506	2760
353	1509	2755
354	1515	2753
355	1519	2749
356	1523	2743
357	1527	2738
358	1532	2736
359	1536	2731
360	1540	2726
361	1543	2720
362	1548	2717
363	1551	2711
364	1555	2706
365	1559	2701
366	1564	2698
367	1568	2692
368	1571	2687
369	1575	2682
370	1580	2680
371	1584	2675
372	1588	2669
373	1592	2665
374	1597	2662
375	1601	2657
376	1605	2652
377	1609	2648
378	1613	2644
379	1617	2638
380	1620	2633
381	1624	2628
382	1629	2624
383	1632	2619
384	1636	2614
385	1640	2609
386	1644	2605
387	1648	2600
388	1652	2595
389	1656	2591
390	1661	2587
391	1664	2582
392	1668	2577
393	1672	2572
394	1677	2568
395	1680	2563
396	1684	2558
397	1688	2554
398	1693	2550
399	1699	2548
400	1703	2544
401	1708	2541
402	1713	2538
403	1717	2533
404	1720	2528
405	1726	2525
406	1730	2521
407	1734	2517
408	1739	2514
409	1744	2510
410	1748	2506
411	1753	2501
412	1757	2498
413	1762	2495
414	1766	2490
415	1770	2485
416	1775	2482
417	1779	2478
418	1783	2473
419	1789	2470
420	1794	2467
421	1798	2463
422	1802	2459
423	1807	2456
424	1811	2451
425	1815	2446
426	1820	2443
427	1825	2439
428	1829	2434
429	1832	2429
430	1837	2426
431	1841	2421
432	1845	2416
433	1849	2411
434	1854	2408
435	1858	2403
436	1861	2398
437	1865	2393
438	1870	2390
439	1874	2385
440	1878	2380
441	1881	2375
442	1886	2372
443	1891	2368
444	1895	2363
445	1899	2359
446	1903	2355
447	1907	2350
448	1911	2345
449	1915	2340
450	1919	2336
451	1923	2331
452	1926	2326
453	1930	2322
454	1935	2318
455	1939	2313
456	1942	2308
457	1946	2303
458	1951	2300
459	1957	2297
460	1962	2294
461	1967	2291
462	1971	2287
463	1976	2282
464	1982	2280
465	1986	2276
466	1991	2272
467	1996	2269
468	2002	2267
469	2008	2264
470	2014	2262
471	2018	2257
472	2022	2253
473	2027	2250
474	2033	2247
475	2037	2243
476	2042	2239
477	2049	2238
478	2053	2233
479	2058	2229
480	2064	2227
481	2068	2223
482	2073	2219
483	2078	2215
484	2083	2212
485	2089	2209
486	2095	2207
487	2102	2206
488	2107	2202
489	2116	2202
490	2123	2200
491	2129	2198
492	2136	2196
493	2146	2198
494	2154	2198
495	2163	2198
496	2171	2197
497	2180	2198
498	2187	2196
499	2195	2195
500	2202	2194
501	2210	2192
502	2216	2189
503	2223	2187
504	2231	2186
505	2239	2186
506	2246	2184
507	2252	2181
508	2260	2180
509	2266	2177
510	2272	2175
511	2278	2171
512	2283	2167
513	2291	2166
514	2299	2165
515	2307	2164
516	2316	2164
517	2322	2161
518	2328	2157
519	2332	2153
520	2337	2149
521	2344	2146
522	2349	2142
523	2353	2138
524	2359	2134
525	2363	2130
526	2368	2125
527	2373	2121
528	2377	2116
529	2381	2111
530	2384	2106
531	2390	2102
532	2393	2097
533	2397	2092
534	2401	2087
535	2406	2083
536	2411	2078
537	2415	2073
538	2420	2069
539	2424	2065
540	2428	2060
541	2432	2055
542	2437	2051
543	2442	2047
544	2446	2042
545	2451	2038
546	2456	2034
547	2460	2029
548	2464	2024
549	2469	2020
550	2475	2016
551	2478	2011
552	2483	2007
553	2487	2002
554	2491	1998
555	2496	1993
556	2501	1989
557	2506	1985
558	2511	1981
559	2516	1977
560	2520	1972
561	2525	1967
562	2530	1964
563	2536	1960
564	2540	1955
565	2544	1950
566	2549	1946
567	2553	1941
568	2557	1937
569	2561	1932
570	2566	1928
571	2570	1923
572	2574	1918
573	2578	1913
574	2583	1909
575	2587	1904
576	2591	1899
577	2595	1894
578	2600	1890
579	2605	1886
580	2608	1881
581	2612	1876
582	2617	1872
583	2622	1867
584	2625	1862
585	2631	1858
586	2635	1853
587	2638	1848
588	2642	1843
589	2647	1840
590	2651	1835
591	2655	1830
592	2659	1825
593	2665	1821
594	2669	1816
595	2672	1811
596	2676	1806
597	2681	1802
598	2685	1797
599	2689	1792
600	2692	1787
601	2697	1783
602	2701	1778
603	2705	1773
604	2708	1768
605	2713	1764
606	2717	1759
607	2721	1754
608	2725	1749
609	2730	1745
610	2735	1741
611	2739	1736
612	2745	1733
613	2748	1728
614	2752	1723
615	2757	1718
616	2762	1714
617	2765	1709
618	2769	1704
619	2773	1700
620	2778	1695
621	2782	1690
622	2786	1686
623	2790	1681
624	2794	1676
625	2798	1672
626	2802	1667
627	2806	1662
628	2810	1657
629	2814	1652
630	2818	1647
631	2821	1643
632	2826	1638
633	2831	1634
634	2835	1629
635	2839	1625
636	2843	1620
637	2847	1615
638	2851	1610
639	2855	1606
640	2859	1601
641	2863	1596
642	2867	1591
643	2871	1587
644	2875	1582
645	2879	1577
646	2883	1573
647	2888	1568
648	2892	1564
649	2895	1559
650	2899	1554
651	2904	1550
652	2908	1545
653	2912	1540
654	2916	1535
655	2921	1532
656	2925	1527
657	2929	1522
658	2933	1517
659	2938	1513
660	2943	1509
661	2947	1504
662	2951	1500
663	2956	1496
664	2960	1491
665	2963	1486
666	2968	1482
667	2972	1477
668	2976	1472
669	2979	1467
670	2985	1463
671	2990	1459
672	2993	1454
673	2997	1449
674	3002	1445
675	3006	1441
676	3010	1436
677	3014	1431
678	3019	1427
679	3024	1423
680	3029	1418
681	3035	1415
682	3040	1411
683	3045	1406
684	3051	1403
685	3055	1398
686	3058	1393
687	3062	1388
688	3068	1385
689	3072	1380
690	3075	1375
691	3079	1370
692	3084	1366
693	3088	1361
694	3093	1357
695	3097	1352
696	3102	1348
697	3106	1344
698	3110	1339
699	3115	1335
700	3120	1330
701	3124	1326
702	3128	1321
703	3133	1317
704	3137	1313
705	3141	1308
706	3146	1303
707	3150	1299
708	3153	1294
709	3157	1289
710	3161	1285
711	3166	1280
712	3169	1275
713	3173	1271
714	3178	1266
715	3182	1262
716	3185	1257
717	3189	1252
718	3194	1248
719	3198	1243
720	3202	1239
721	3205	1234
722	3211	1230
723	3214	1225
724	3218	1220
725	3222	1216
726	3227	1212
727	3232	1207
728	3236	1202
729	3241	1198
730	3245	1194
731	3249	1189
732	3253	1185
733	3259	1181
734	3263	1176
735	3267	1172
736	3272	1167
737	3277	1163
738	3281	1159
739	3286	1154
740	3291	1150
741	3296	1146
742	3301	1141
743	3307	1137
744	3312	1133
745	3316	1129
746	3321	1124
747	3325	1120
748	3331	1116
749	3335	1111
750	3340	1107
751	3345	1103
752	3349	1098
753	3355	1094
754	3360	1090
755	3364	1085
756	3369	1081
757	3375	1077
758	3380	1073
759	3384	1068
760	3389	1064
761	3393	1060
762	3397	1055
763	3403	1051
764	3407	1046
765	3412	1042
766	3416	1037
767	3421	1033
768	3426	1029
769	3430	1024
770	3436	1020
771	3441	1016
772	3445	1011
773	3450	1007
774	3455	1003
775	3459	998
776	3463	993
777	3468	989
778	3474	985
779	3478	981
780	3483	976
781	3487	972
782	3492	967
783	3497	963
784	3502	959
785	3507	954
786	3512	950
787	3517	946
788	3522	941
789	3526	937
790	3530	932
791	3535	928
792	3539	924
793	3543	919
794	3549	915
795	3553	910
796	3557	906
797	3561	901
798	3566	897
799	3571	892
800	3574	888
801	3580	883
802	3584	879
803	3588	874
804	3592	870
805	3597	865
806	3602	861
807	3606	857
808	3611	852
809	3615	848
810	3620	843
811	3624	839
812	3629	834
813	3634	830
814	3639	826
815	3645	822
816	3650	817
817	3654	813
818	3658	808
819	3662	804
820	3666	799
821	3670	794
822	3674	790
823	3678	785
824	3682	781
825	3686	776
826	3690	771
827	3695	767
828	3698	762
829	3702	758
830	3708	754
831	3712	749
832	3716	745
833	3720	740
834	3726	736
835	3729	731
836	3733	727
837	3737	722
838	3742	718
839	3747	713
840	3751	709
841	3756	704
842	3761	700
843	3765	696
844	3769	691
845	3775	687
846	3779	682
847	3783	678
848	3787	673
849	3791	669
850	3795	664
851	3799	660
852	3803	655
853	3808	651
854	3811	646
855	3815	641
856	3819	637
857	3824	632
858	3828	628
859	3832	623
860	3837	619
861	3841	615
862	3845	610
863	3849	605
864	3854	601
865	3859	597
866	3863	592
867	3866	588
868	3872	583
869	3876	579
870	3879	574
871	3883	570
872	3889	565
873	3893	561
874	3897	556
875	3904	552
876	3909	548
877	3914	543
878	3919	539
879	3923	535
880	3927	530
881	3931	525
882	3937	521
883	3940	517
884	3944	512
885	3948	508
886	3953	503
887	3958	499
888	3962	494
889	3967	490
890	3971	485
891	3975	481
892	3979	476
893	3984	472
894	3988	467
895	3992	463
896	3996	458
897	4001	454
898	4005	449
899	4008	445
900	4012	440
901	4017	436
902	4021	432
903	4025	427
904	4028	422
905	4034	418
906	4038	414
907	4042	409
908	4046	405
909	4051	400
910	4054	396
911	4058	391
912	4062	387
913	4067	382
914	4071	378
915	4075	373
916	4081	369
917	4085	364
918	4089	360
919	4092	355
920	4098	351
921	4102	347
922	4105	342
923	4109	338
924	4114	333
925	4118	329
926	4122	324
927	4125	320
928	4131	315
929	4134	311
930	4138	306
931	4142	302
932	4147	297
933	4151	293
934	4154	288
935	4160	284
936	4164	280
937	4169	275
938	4173	271
939	4179	266
940	4183	262
941	4187	257
942	4190	253
943	4195	248
944	4199	244
945	4203	239
946	4207	235
947	4211	231
948	4215	226
949	4219	222
950	4223	217
951	4228	213
952	4232	208
953	4235	204
954	4239	199
955	4244	195
956	4248	190
957	4252	186
958	4257	182
959	4261	177
960	4265	173
961	4269	168
962	4274	164
963	4279	159
964	4284	155
965	4287	150
966	4292	146
967	4297	142
968	4300	137
969	4305	133
970	4309	128
971	4313	124
972	4317	119
973	4322	115
974	4326	110
975	4330	106
976	4333	102
977	4339	97
978	4343	93
979	4347	88
980	4351	84
981	4356	79
982	4361	75
983	4365	70
984	4370	66
985	4374	62
986	4379	57
987	4386	53
988	4390	48
989	4396	44
990	4400	39
991	4406	35
992	4411	31
993	4415	26
994	4421	22
995	4426	17
996	4430	13
997	4436	8
998	4441	4
999	4445	0
